Navn,Type,Kategori,Målgruppe,Forklaring,Kilde / mer informasjon
dapla-toolbelt-pseudo,Python-pakke,Pseudonymisering,Tekniske statistikere og utviklere,Pseudonymisering på Dapla,https://pypi.org/project/dapla-toolbelt-pseudo/
ssb-metamock,Python-pakke,Syntetiske data,"Statistikere, metode, utviklere",Lage testdata/syntetiske data fra metadata,https://pypi.org/project/ssb-metamock/
ssb-dash-framework,Python-pakke,Applikasjoner,Statistikere og utviklere som lager dashbord,Rammeverk for dataeditering,https://pypi.org/project/ssb-dash-framework/
ssb-dash-components,Python-pakke,Applikasjoner,Statistikere og utviklere som lager dashbord,Komponentbibliotek for Dash-applikasjoner i SSB.,https://pypi.org/project/ssb-dash-components/
GISSB,R-pakke,Geografiske analyser,Geodata-/metodemiljøer,Nettverksanalyse og geografi i R,https://statisticsnorway.github.io/ssb-fellesr/
ssb-dapla-geoio,Python-pakke,Geografiske data,Geodata-brukere,Lesing/skriving av geodata på Dapla,https://pypi.org/project/ssb-dapla-geoio/
microdata-tools,Python-pakke,Forskning,Forskere/statistikere som bruker microdata.no,Arbeid mot microdata.no,https://pypi.org/project/microdata-tools/
ssb-kostra-python,Python-pakke,Fagspesifikk,KOSTRA-miljøer,Python-pakke knyttet til KOSTRA-produksjon,https://pypi.org/project/ssb-kostra-python/
Kostra,R-pakke,Fagspesifikk,KOSTRA-miljøer,R-pakke knyttet til KOSTRA-produksjon ,https://statisticsnorway.github.io/ssb-fellesr/
ssb-nudb-use,Python-pakke,Fagspesifikk,NUDB-brukere og dataforbrukere,Brukspakke for dataforbrukere og dataleverandører knyttet til NUDB (Nasjonal utdanningsdatabase),https://pypi.org/project/ssb-nudb-use/
ssb-nudb-config,Python-pakke,Fagspesifikk,NUDB-miljøer,Konfigurasjon av NUDB,https://pypi.org/project/ssb-nudb-config/
ssb-pre-system,Python-pakke,Fagspesifikk,Nasjonalregnskap,Forsystem for månedlig og kvartalsvis nasjonalregnskapsstatistikk.,https://pypi.org/project/ssb-pre-system/
dapla-suv-tools,Python-pakke,Spesifikk integrasjon,SUV-brukere,Integrasjon med SUV-plattformen i Dapla,https://pypi.org/project/dapla-suv-tools/
ssb-timeseries,Python-pakke,Tidsserier,"Statistikere, metode, forskning","Arbeid med tidsserier. Verktøy og modeller for lagring, versjonering, metadata og beregninger på tidsserier.",https://pypi.org/project/ssb-timeseries/
ssb-model-solver,Python-pakke,Modellering,"Forskere, metode, modellmiljøer","Numeriske modeller. Verktøy for å definere, analysere og løse dynamiske og algebraiske modeller.",https://pypi.org/project/ssb-model-solver/
ssb-coefficient-maker,Python-pakke,Modellering,Metode-/fagmiljø,Modell- eller koeffisientarbeid. Verktøy for å lage koeffisienter i faglige beregninger.,https://pypi.org/project/ssb-coefficient-maker/
SSBpris,R-pakke,Fagspesifikk,Prisstatistikk / relevante fagmiljøer,Prisrelaterte beregninger. R-pakke nevnt i fellesr-oversikten for SSB-bruk.,https://statisticsnorway.github.io/ssb-fellesr/
struktuR,R-pakke,Struktur,R-brukere i relevante statistikkområder,Strukturering av data/statistikk. R-pakke nevnt i fellesr-oversikten.,https://statisticsnorway.github.io/ssb-fellesr/
